Unnamed: 0,demo_id,demo_round_id,round_start_tick,weapon_fire_id,team,detonation_raw_x,detonation_raw_y,detonation_raw_z,throw_from_raw_x,throw_from_raw_y,throw_from_raw_z,throw_tick,detonation_tick,LABEL,TYPE,map_name
0,766,40468,231253,5719283,T,-801.693,-312.802,-165.62099999999995,1422.9365234375,-367.96875,-167.96875,1968,2982.0,True,smoke,de_mirage
1,752,40436,292883,5714109,CT,370.477,-1496.46,-173.96900000000005,815.463134765625,-1497.30090332031,-108.96875,4325,5025.0,True,smoke,de_mirage
2,5564,54655,113811,7771030,CT,-546.781,-494.96,-165.96900000000005,-973.8507690429692,291.751495361328,-167.316558837891,9204,9488.0,True,smoke,de_mirage
3,5453,51799,155382,7376468,T,-943.044,-2474.6,-97.9688,-31.916996002197298,-1418.0012207031198,-163.396575927734,5620,5896.0,True,molotov,de_mirage
4,643,42230,533591,5981012,T,274.534,-1471.61,-127.512,-621.03125,-1996.9357910156202,-179.96875,2860,3084.0,True,flashbang,de_mirage
5,676,42337,179545,5999697,T,57.7904,-2278.34,-37.9688,-529.852600097656,-1462.8371582031198,-58.4902534484863,2934,3272.0,True,smoke,de_mirage
6,4244,31291,390403,4360489,CT,-229.781,-505.952,-165.234,1422.908203125,70.96875,-112.90266418457001,1841,2539.0,True,smoke,de_mirage
7,643,42231,544400,5981247,CT,-53.7275,-1840.27,-165.96900000000005,214.785736083984,-1496.85986328125,-175.96875,7453,7675.0,True,molotov,de_mirage
8,5564,54656,125391,7771062,CT,-724.062,-990.055,-215.969,-601.996765136719,-1324.91479492188,-167.96875,8336,8416.0,True,smoke,de_mirage
9,5649,57020,591119,8103312,CT,207.415,759.3560000000001,-133.969,-575.189880371094,572.170715332031,-81.671875,4929,5213.0,True,smoke,de_mirage
10,5564,54649,34232,7770331,T,-864.712,-568.785,-261.969,1422.96875,-367.954284667969,-156.904525756836,2112,3148.0,False,smoke,de_mirage
11,5453,51802,191752,7376898,CT,-821.712,-2405.29,-169.96900000000005,152.935958862305,-1671.99072265625,-167.96875,12720,12972.0,True,molotov,de_mirage
12,5375,49664,387684,7074547,CT,-1246.82,-1337.35,-174.37400000000005,-334.500091552734,-1746.2473144531198,-167.96875,6394,6642.0,False,smoke,de_mirage
13,5448,51681,294216,7359904,CT,-1547.52,617.884,411.253,-339.85980224609403,568.968444824219,-79.9796676635742,3746,3970.0,True,flashbang,de_mirage
14,5448,51680,284252,7359860,CT,-1169.67,-620.862,-165.96900000000005,-45.001155853271506,-447.222991943359,-167.812744140625,5289,5679.0,True,smoke,de_mirage
